Dates,Europe,Germany,UK,Switzerland,US,NASDAQ,Japan,HongKong,EmergingMarkets,World
2019-02-26,3289.32,11540.79,7151.12,9461.21,2793.9,7123.2159999999985,21449.39,28772.06,1064.94,2091.7
2019-02-27,3282.77,11487.33,7107.2,9412.19,2792.38,7117.004,21556.51,28757.44,1061.26,2092.12
2019-02-28,3298.26,11515.64,7074.73,9388.94,2784.49,7097.525,21385.16,28633.18,1050.95,2085.84
2019-03-01,3312.1,11601.68,7106.73,9412.02,2803.69,7151.571999999999,21602.69,28812.17,1051.54,2096.35
2019-03-02,3312.1,11601.68,7106.73,9412.02,2803.69,7151.571999999999,21602.69,28812.17,1051.54,2096.35
2019-03-03,3312.1,11601.68,7106.73,9412.02,2803.69,7151.571999999999,21602.69,28812.17,1051.54,2096.35
2019-03-04,3317.12,11592.66,7134.39,9394.05,2792.81,7150.833000000001,21822.04,28959.59,1053.62,2090.4
2019-03-05,3327.19,11620.74,7183.43,9399.15,2789.65,7156.785,21726.28,28961.6,1055.12,2087.5
2019-03-06,3324.67,11587.63,7196.0,9403.16,2771.45,7112.468000000003,21596.81,29037.6,1055.68,2078.69
2019-03-07,3308.85,11517.8,7157.55,9324.58,2748.93,7026.8830000000025,21456.01,28779.45,1043.56,2061.41
2019-03-08,3283.6,11457.84,7104.31,9268.36,2743.07,7015.69,21025.56,28228.42,1030.13,2051.12
2019-03-09,3283.6,11457.84,7104.31,9268.36,2743.07,7015.69,21025.56,28228.42,1030.13,2051.12
2019-03-10,3283.6,11457.84,7104.31,9268.36,2743.07,7015.69,21025.56,28228.42,1030.13,2051.12
2019-03-11,3304.44,11543.48,7130.62,9341.35,2783.3,7164.021,21125.09,28503.3,1041.15,2074.66
2019-03-12,3303.95,11524.17,7151.15,9331.62,2791.52,7201.281,21503.69,28920.87,1051.52,2083.38
2019-03-13,3323.45,11572.41,7159.19,9387.43,2810.92,7256.981,21290.24,28807.45,1050.46,2095.67
2019-03-14,3342.03,11587.47,7185.43,9481.9,2808.48,7243.014,21287.02,28851.39,1048.2,2096.32
2019-03-15,3386.08,11685.69,7228.28,9483.1,2822.48,7306.986999999999,21450.85,29012.26,1057.3,2108.78
2019-03-16,3386.08,11685.69,7228.28,9483.1,2822.48,7306.986999999999,21450.85,29012.26,1057.3,2108.78
2019-03-17,3386.08,11685.69,7228.28,9483.1,2822.48,7306.986999999999,21450.85,29012.26,1057.3,2108.78
2019-03-18,3387.94,11657.06,7299.19,9496.93,2832.94,7326.281999999997,21584.5,29409.01,1069.26,2117.99
2019-03-19,3409.0,11788.41,7324.0,9525.92,2832.57,7349.278,21566.85,29466.28,1070.95,2120.43
2019-03-20,3372.38,11603.89,7291.01,9463.32,2824.23,7380.754,21608.92,29320.97,1068.47,2112.05
2019-03-21,3367.4,11549.96,7355.31,9454.05,2854.88,7493.27,21608.92,29071.56,1069.68,2127.93
2019-03-22,3305.73,11364.17,7207.59,9319.42,2800.71,7326.057,21627.34,29113.36,1059.63,2094.81
2019-03-23,3305.73,11364.17,7207.59,9319.42,2800.71,7326.057,21627.34,29113.36,1059.63,2094.81
2019-03-24,3305.73,11364.17,7207.59,9319.42,2800.71,7326.057,21627.34,29113.36,1059.63,2094.81
2019-03-25,3300.48,11346.65,7177.58,9305.5,2798.36,7316.9580000000005,20977.11,28523.35,1047.71,2087.06
2019-03-26,3319.53,11419.48,7196.29,9389.3,2818.46,7351.15,21428.39,28566.91,1050.45,2102.62
2019-03-27,3322.04,11419.04,7194.19,9390.59,2805.37,7308.193,21378.73,28728.25,1044.1,2094.02
2019-03-28,3320.29,11428.16,7234.33,9405.93,2815.44,7320.472,21033.76,28775.21,1045.21,2095.18
2019-03-29,3351.71,11526.04,7279.19,9477.84,2834.4,7378.771,21205.81,29051.36,1058.13,2107.74
2019-03-30,3351.71,11526.04,7279.19,9477.84,2834.4,7378.771,21205.81,29051.36,1058.13,2107.74
2019-03-31,3351.71,11526.04,7279.19,9477.84,2834.4,7378.771,21205.81,29051.36,1058.13,2107.74
2019-04-01,3385.38,11681.99,7317.38,9538.11,2867.19,7478.416,21509.03,29562.02,1070.09,2131.79
2019-04-02,3395.7,11754.79,7391.12,9536.57,2867.24,7499.639,21505.31,29624.67,1071.14,2131.71
2019-04-03,3435.56,11954.4,7418.28,9570.09,2873.4,7544.972,21713.21,29986.39,1079.8,2143.02
2019-04-04,3441.93,11988.01,7401.94,9563.71,2879.39,7540.566999999999,21724.95,29936.32,1080.73,2142.75
2019-04-05,3447.47,12009.75,7446.87,9541.15,2892.74,7578.84,21807.5,29936.32,1085.14,2149.85
2019-04-06,3447.47,12009.75,7446.87,9541.15,2892.74,7578.84,21807.5,29936.32,1085.14,2149.85
2019-04-07,3447.47,12009.75,7446.87,9541.15,2892.74,7578.84,21807.5,29936.32,1085.14,2149.85
2019-04-08,3438.06,11963.4,7451.89,9547.33,2895.77,7599.7419999999975,21761.65,30077.15,1088.5,2152.89
2019-04-09,3417.22,11850.57,7425.57,9582.22,2878.2,7568.486,21802.59,30157.49,1093.44,2143.2
2019-04-10,3424.65,11905.91,7421.91,9556.31,2888.21,7611.488,21687.57,30119.56,1096.05,2147.99
2019-04-11,3435.34,11935.2,7417.95,9549.26,2888.32,7594.89,21711.38,29839.45,1087.49,2147.61
2019-04-12,3447.83,11999.93,7437.06,9484.91,2907.41,7628.15,21870.56,29909.76,1089.09,2159.39
2019-04-13,3447.83,11999.93,7437.06,9484.91,2907.41,7628.15,21870.56,29909.76,1089.09,2159.39
2019-04-14,3447.83,11999.93,7437.06,9484.91,2907.41,7628.15,21870.56,29909.76,1089.09,2159.39
2019-04-15,3450.46,12020.28,7436.87,9513.71,2905.58,7629.12,22169.11,29810.72,1086.22,2161.14
2019-04-16,3463.36,12101.32,7469.92,9579.85,2907.06,7654.731,22221.66,30129.87,1093.55,2163.08
2019-04-17,3477.73,12153.07,7471.32,9596.6,2900.45,7680.717,22277.97,30124.68,1096.39,2160.94
2019-04-18,3499.23,12222.39,7459.88,9571.22,2905.03,7689.715,22090.12,29963.26,1092.52,2160.21
2019-04-19,3499.23,12222.39,7459.88,9571.22,2905.03,7689.715,22200.56,29963.26,1092.52,2160.36
2019-04-20,3499.23,12222.39,7459.88,9571.22,2905.03,7689.715,22200.56,29963.26,1092.52,2160.36
2019-04-21,3499.23,12222.39,7459.88,9571.22,2905.03,7689.715,22200.56,29963.26,1092.52,2160.36
2019-04-22,3499.23,12222.39,7459.88,9571.22,2907.97,7713.495,22217.9,29963.26,1089.03,2161.58
2019-04-23,3503.85,12235.51,7523.07,9635.07,2933.68,7810.706,22259.74,29963.24,1089.76,2174.39
2019-04-24,3502.63,12313.16,7471.75,9655.67,2927.25,7784.4130000000005,22200.0,29805.83,1084.52,2168.81
2019-04-25,3491.92,12282.6,7434.13,9694.06,2926.17,7816.919,22307.58,29549.8,1076.71,2165.36
2019-04-26,3500.41,12315.18,7428.19,9724.27,2939.88,7826.679,22258.73,29605.01,1078.06,2173.82
2019-04-27,3500.41,12315.18,7428.19,9724.27,2939.88,7826.679,22258.73,29605.01,1078.06,2173.82
2019-04-28,3500.41,12315.18,7428.19,9724.27,2939.88,7826.679,22258.73,29605.01,1078.06,2173.82
2019-04-29,3501.94,12328.02,7440.66,9740.48,2943.03,7839.0390000000025,22258.73,29892.81,1082.91,2175.59
2019-04-30,3514.62,12344.08,7418.22,9769.74,2945.83,7781.456,22258.73,29699.11,1079.24,2178.67
2019-05-01,3514.62,12344.08,7385.26,9769.74,2923.73,7751.847,22258.73,29699.11,1080.48,2170.03
2019-05-02,3488.93,12345.42,7351.31,9746.06,2917.52,7724.056,22258.73,29944.18,1078.95,2161.11
2019-05-03,3502.48,12412.75,7380.64,9741.99,2945.64,7845.729,22258.73,30081.55,1082.77,2177.77
2019-05-04,3502.48,12412.75,7380.64,9741.99,2945.64,7845.729,22258.73,30081.55,1082.77,2177.77
2019-05-05,3502.48,12412.75,7380.64,9741.99,2945.64,7845.729,22258.73,30081.55,1082.77,2177.77
2019-05-06,3462.95,12286.88,7380.64,9657.24,2932.47,7794.093000000003,22258.73,29209.82,1062.64,2166.66
2019-05-07,3401.16,12092.74,7260.47,9577.38,2884.05,7640.149,21923.72,29363.02,1057.05,2135.49
2019-05-08,3417.26,12179.93,7271.0,9621.96,2879.42,7617.55,21602.59,29003.2,1050.94,2131.9
2019-05-09,3350.71,11973.92,7207.41,9430.3,2870.72,7582.746999999998,21402.13,28311.07,1028.4,2119.31
2019-05-10,3361.05,12059.83,7203.29,9472.83,2881.4,7586.531,21344.92,28550.24,1033.44,2126.32
2019-05-11,3361.05,12059.83,7203.29,9472.83,2881.4,7586.531,21344.92,28550.24,1033.44,2126.32
2019-05-12,3361.05,12059.83,7203.29,9472.83,2881.4,7586.531,21344.92,28550.24,1033.44,2126.32
2019-05-13,3320.78,11876.65,7163.68,9363.18,2811.87,7324.132,21191.28,28550.24,1016.49,2086.46
2019-05-14,3364.38,11991.62,7241.6,9404.08,2834.41,7401.884,21067.23,28122.02,1014.48,2098.76
2019-05-15,3385.78,12099.57,7296.95,9480.76,2850.96,7503.246,21188.56,28268.71,1015.97,2110.4
2019-05-16,3438.56,12310.37,7353.51,9660.59,2876.32,7580.142,21062.98,28275.07,1011.14,2126.06
2019-05-17,3425.64,12238.94,7348.62,9659.08,2859.53,7503.68,21250.09,27946.46,996.39,2116.51
2019-05-18,3425.64,12238.94,7348.62,9659.08,2859.53,7503.68,21250.09,27946.46,996.39,2116.51
2019-05-19,3425.64,12238.94,7348.62,9659.08,2859.53,7503.68,21250.09,27946.46,996.39,2116.51
2019-05-20,3369.78,12041.29,7310.88,9582.08,2840.23,7376.703,21301.73,27787.61,994.08,2104.64
2019-05-21,3386.51,12143.47,7328.92,9624.16,2864.36,7451.02,21272.45,27657.24,998.97,2117.66
2019-05-22,3386.72,12168.74,7334.19,9645.04,2856.27,7420.656,21283.37,27705.94,998.0,2111.78
2019-05-23,3327.2,11952.41,7231.04,9594.31,2822.24,7307.934,21151.14,27267.13,984.81,2087.46
2019-05-24,3350.7,12011.04,7277.73,9666.89,2826.06,7300.9609999999975,21117.22,27353.93,986.65,2095.03
2019-05-25,3350.7,12011.04,7277.73,9666.89,2826.06,7300.9609999999975,21117.22,27353.93,986.65,2095.03
2019-05-26,3350.7,12011.04,7277.73,9666.89,2826.06,7300.9609999999975,21117.22,27353.93,986.65,2095.03
2019-05-27,3364.04,12071.18,7277.73,9712.96,2826.06,7300.9609999999975,21182.58,27288.09,989.15,2096.43
2019-05-28,3348.86,12027.05,7268.95,9680.87,2802.39,7278.376,21260.14,27390.81,988.16,2084.57
2019-05-29,3297.81,11837.81,7185.3,9541.97,2783.02,7216.859,21003.37,27235.71,985.44,2064.8
2019-05-30,3318.15,11902.08,7218.16,9541.97,2788.86,7245.403,20942.53,27114.88,994.93,2066.48
2019-05-31,3280.43,11726.84,7161.71,9523.98,2752.06,7127.956,20601.19,26901.09,998.0,2046.25
2019-06-01,3280.43,11726.84,7161.71,9523.98,2752.06,7127.956,20601.19,26901.09,998.0,2046.25
2019-06-02,3280.43,11726.84,7161.71,9523.98,2752.06,7127.956,20601.19,26901.09,998.0,2046.25
2019-06-03,3300.22,11792.81,7184.8,9602.73,2744.45,6978.018,20410.88,26893.86,1008.34,2045.06
2019-06-04,3333.49,11971.17,7214.29,9597.71,2803.27,7166.748000000001,20408.54,26761.52,1005.43,2077.66
2019-06-05,3339.95,11980.81,7220.22,9658.62,2826.15,7220.903,20776.1,26895.44,1004.68,2095.83
2019-06-06,3338.41,11953.14,7259.85,9682.29,2843.49,7275.927,20774.04,26965.28,1002.75,2104.18
2019-06-07,3378.38,12045.38,7331.94,9749.13,2873.34,7417.291999999998,20884.71,26965.28,1007.39,2126.88
2019-06-08,3378.38,12045.38,7331.94,9749.13,2873.34,7417.291999999998,20884.71,26965.28,1007.39,2126.88
2019-06-09,3378.38,12045.38,7331.94,9749.13,2873.34,7417.291999999998,20884.71,26965.28,1007.39,2126.88
2019-06-10,3386.45,12045.38,7375.54,9749.13,2886.73,7501.929,21134.42,27578.64,1022.03,2135.51
2019-06-11,3401.1,12155.81,7398.45,9835.87,2885.72,7513.849,21204.28,27789.34,1031.85,2139.74
2019-06-12,3386.63,12115.68,7367.62,9859.73,2879.84,7472.294,21129.72,27308.46,1026.24,2134.42
2019-06-13,3390.5,12169.05,7368.57,9861.83,2891.64,7510.684,21032.0,27294.71,1022.08,2136.96
2019-06-14,3379.19,12096.4,7345.78,9847.61,2886.98,7479.111,21116.89,27118.35,1015.08,2130.95
2019-06-15,3379.19,12096.4,7345.78,9847.61,2886.98,7479.111,21116.89,27118.35,1015.08,2130.95
2019-06-16,3379.19,12096.4,7345.78,9847.61,2886.98,7479.111,21116.89,27118.35,1015.08,2130.95
2019-06-17,3383.21,12085.82,7357.31,9851.57,2889.67,7526.52,21124.0,27227.16,1010.97,2130.86
2019-06-18,3452.89,12331.75,7443.04,9988.55,2917.75,7635.4,20972.71,27498.77,1023.91,2150.91
2019-06-19,3454.7,12308.53,7403.54,9961.65,2926.46,7667.738,21333.87,28202.14,1038.27,2161.6
2019-06-20,3468.08,12355.39,7424.44,9978.52,2954.18,7738.055,21462.86,28550.43,1053.78,2183.36
2019-06-21,3466.92,12339.92,7407.5,9922.83,2950.46,7728.781999999997,21258.64,28473.71,1053.22,2178.16
2019-06-22,3466.92,12339.92,7407.5,9922.83,2950.46,7728.781999999997,21258.64,28473.71,1053.22,2178.16
2019-06-23,3466.92,12339.92,7407.5,9922.83,2950.46,7728.781999999997,21258.64,28473.71,1053.22,2178.16
2019-06-24,3455.57,12274.57,7416.69,9898.85,2945.35,7723.021,21285.99,28513.0,1053.06,2178.17
2019-06-25,3444.36,12228.44,7422.43,9898.9,2917.38,7591.536,21193.81,28185.98,1045.3,2163.73
2019-06-26,3442.95,12245.32,7416.39,9838.13,2913.78,7627.050999999998,21086.59,28221.98,1047.91,2158.41
2019-06-27,3442.38,12271.03,7402.33,9859.76,2924.92,7657.0480000000025,21338.17,28621.42,1054.86,2166.48
2019-06-28,3473.69,12398.8,7425.63,9898.24,2941.76,7671.075,21275.92,28542.62,1054.86,2178.35
2019-06-29,3473.69,12398.8,7425.63,9898.24,2941.76,7671.075,21275.92,28542.62,1054.86,2178.35
2019-06-30,3473.69,12398.8,7425.63,9898.24,2941.76,7671.075,21275.92,28542.62,1054.86,2178.35
2019-07-01,3497.59,12521.38,7497.5,9970.0,2964.33,7768.138000000001,21729.97,28542.62,1064.09,2192.24
2019-07-02,3507.98,12526.72,7559.19,10020.93,2973.01,7799.824,21754.27,28875.56,1063.64,2198.55
2019-07-03,3540.63,12616.24,7609.32,10066.53,2995.82,7857.69,21638.16,28855.14,1059.63,2213.35
2019-07-04,3544.15,12629.9,7603.58,10066.48,2995.82,7857.69,21702.45,28795.77,1064.63,2215.17
2019-07-05,3527.98,12568.53,7553.14,9980.22,2990.41,7841.300999999998,21746.38,28774.83,1059.93,2205.57
2019-07-06,3527.98,12568.53,7553.14,9980.22,2990.41,7841.300999999998,21746.38,28774.83,1059.93,2205.57
2019-07-07,3527.98,12568.53,7553.14,9980.22,2990.41,7841.300999999998,21746.38,28774.83,1059.93,2205.57
2019-07-08,3523.76,12543.51,7549.27,9994.1,2975.95,7785.7869999999975,21534.35,28331.69,1046.25,2194.62
2019-07-09,3509.75,12436.55,7536.47,9961.34,2979.63,7826.858,21565.15,28116.28,1042.47,2193.64
2019-07-10,3501.52,12373.41,7530.69,9937.56,2993.07,7903.401,21533.48,28204.69,1048.95,2201.14
2019-07-11,3496.73,12332.12,7509.82,9879.53,2999.91,7896.776,21643.53,28431.8,1055.15,2205.35
2019-07-12,3497.63,12323.32,7505.97,9762.98,3013.77,7943.241,21685.9,28471.62,1050.9,2212.64
2019-07-13,3497.63,12323.32,7505.97,9762.98,3013.77,7943.241,21685.9,28471.62,1050.9,2212.64
2019-07-14,3497.63,12323.32,7505.97,9762.98,3013.77,7943.241,21685.9,28471.62,1050.9,2212.64
2019-07-15,3502.22,12387.34,7531.72,9808.58,3014.3,7966.925999999998,21685.9,28554.88,1057.75,2214.34
2019-07-16,3521.36,12430.97,7577.2,9850.52,3004.04,7927.0769999999975,21535.25,28619.62,1060.38,2208.09
2019-07-17,3501.58,12341.03,7535.46,9942.01,2984.42,7888.762,21469.18,28593.17,1054.9,2197.94
2019-07-18,3482.83,12227.85,7493.09,10010.15,2995.11,7904.132,21046.24,28461.66,1051.72,2198.4
2019-07-19,3480.18,12260.07,7508.7,9937.03,2976.61,7834.897,21466.99,28765.4,1057.49,2194.61
2019-07-20,3480.18,12260.07,7508.7,9937.03,2976.61,7834.897,21466.99,28765.4,1057.49,2194.61
2019-07-21,3480.18,12260.07,7508.7,9937.03,2976.61,7834.897,21466.99,28765.4,1057.49,2194.61
2019-07-22,3489.92,12289.4,7514.93,9922.37,2985.03,7905.119000000002,21416.79,28371.26,1053.81,2197.67
2019-07-23,3532.87,12490.74,7556.86,9965.15,3005.47,7954.564,21620.88,28466.48,1055.49,2209.59
2019-07-24,3532.9,12522.89,7501.46,9907.68,3019.56,8010.605,21709.57,28524.04,1055.34,2217.75
2019-07-25,3510.15,12362.1,7489.05,9877.03,3003.67,7929.8669999999975,21756.55,28594.3,1054.29,2206.92
2019-07-26,3524.47,12419.9,7549.06,9968.08,3025.86,8016.953,21658.15,28397.74,1048.66,2215.71
2019-07-27,3524.47,12419.9,7549.06,9968.08,3025.86,8016.953,21658.15,28397.74,1048.66,2215.71
2019-07-28,3524.47,12419.9,7549.06,9968.08,3025.86,8016.953,21658.15,28397.74,1048.66,2215.71
2019-07-29,3523.58,12417.47,7686.61,9970.87,3020.97,7989.081999999998,21616.8,28106.41,1045.73,2212.5
2019-07-30,3462.85,12147.24,7646.77,9890.9,3013.18,7952.473000000001,21709.31,28146.5,1043.14,2203.4
2019-07-31,3466.85,12189.04,7586.78,9919.27,2980.38,7848.78,21521.53,27777.75,1037.01,2187.56
2019-08-01,3490.03,12253.15,7584.87,9919.27,2953.56,7801.146,21540.99,27565.7,1024.56,2173.18
2019-08-02,3376.12,11872.44,7407.06,9803.69,2932.05,7692.800999999998,21087.16,26918.58,1003.76,2149.99
2019-08-03,3376.12,11872.44,7407.06,9803.69,2932.05,7692.800999999998,21087.16,26918.58,1003.76,2149.99
2019-08-04,3376.12,11872.44,7407.06,9803.69,2932.05,7692.800999999998,21087.16,26918.58,1003.76,2149.99
2019-08-05,3310.93,11658.51,7223.85,9599.43,2844.74,7415.691,20720.29,26151.32,973.0,2097.32
2019-08-06,3291.66,11567.96,7171.69,9553.88,2881.77,7521.321999999999,20585.31,25976.24,972.67,2109.2
2019-08-07,3309.99,11650.15,7198.7,9533.98,2883.98,7551.9,20516.56,25997.03,972.65,2114.05
2019-08-08,3375.38,11845.41,7285.9,9751.55,2938.09,7724.83,20593.35,26120.77,984.3,2146.91
2019-08-09,3333.74,11693.8,7253.85,9749.92,2918.65,7646.268,20684.82,25939.3,981.19,2135.34
2019-08-10,3333.74,11693.8,7253.85,9749.92,2918.65,7646.268,20684.82,25939.3,981.19,2135.34
2019-08-11,3333.74,11693.8,7253.85,9749.92,2918.65,7646.268,20684.82,25939.3,981.19,2135.34
2019-08-12,3326.55,11679.68,7226.72,9760.02,2883.75,7561.682,20684.82,25824.72,974.48,2117.65
2019-08-13,3357.16,11750.13,7250.9,9786.24,2926.32,7728.151,20455.44,25281.3,968.87,2134.54
2019-08-14,3288.7,11492.66,7147.88,9628.48,2840.6,7490.13,20655.13,25302.28,964.43,2086.26
2019-08-15,3282.78,11412.67,7067.01,9606.26,2847.6,7484.888000000001,20405.65,25495.46,963.52,2082.84
2019-08-16,3329.08,11562.74,7117.15,9728.39,2888.68,7604.109,20418.81,25734.22,970.27,2108.5
2019-08-17,3329.08,11562.74,7117.15,9728.39,2888.68,7604.109,20418.81,25734.22,970.27,2108.5
2019-08-18,3329.08,11562.74,7117.15,9728.39,2888.68,7604.109,20418.81,25734.22,970.27,2108.5
2019-08-19,3369.19,11715.37,7189.65,9825.59,2923.65,7719.323,20563.16,26291.84,977.73,2131.81
2019-08-20,3350.23,11651.18,7125.0,9770.39,2900.51,7664.471,20677.22,26231.54,980.11,2119.57
2019-08-21,3394.89,11802.85,7203.97,9848.11,2924.43,7733.215999999998,20618.57,26270.04,983.14,2135.52
2019-08-22,3373.67,11747.04,7128.18,9805.5,2922.95,7707.427,20628.01,26048.72,975.66,2131.68
2019-08-23,3334.25,11611.51,7094.98,9744.98,2847.11,7464.995,20710.91,26179.33,973.66,2094.63
2019-08-24,3334.25,11611.51,7094.98,9744.98,2847.11,7464.995,20710.91,26179.33,973.66,2094.63
2019-08-25,3334.25,11611.51,7094.98,9744.98,2847.11,7464.995,20710.91,26179.33,973.66,2094.63
2019-08-26,3348.84,11658.04,7094.98,9715.83,2878.38,7575.019,20261.04,25680.33,960.81,2105.22
2019-08-27,3370.47,11730.02,7089.58,9786.08,2869.16,7566.026999999999,20456.08,25664.07,964.59,2104.85
2019-08-28,3365.38,11701.02,7114.71,9758.19,2887.94,7587.896,20479.42,25615.48,965.35,2111.92
